NAME,STATE_UT,Coal_OpenCast,Coal_BelowGround,TOT_AREA,TOT_POP,M_POP,F_POP,TOT_LIT,M_LIT,F_LIT,TOT_W,M_W,F_W,TOT_CULT,TOT_AGLB,TOT_NNW,R_TOT_POP,R_TOT_LIT,U_TOT_POP,U_TOT_LIT,ID
Dibang Valley,Arunachal Pradesh,0,0,13029,57720,0.544733195,0.455266805,0.482571033,0.557629922,0.392762006,0.445252945,0.527988041,0.346259228,0.197505198,0.021656272,0.554747055,0.82489605,0.431121752,0.17510395,0.724943109,202
Udham Singh Nagar,Uttranchal,0,0,2908,1235614,0.525636647,0.474363353,0.533471618,0.619427114,0.438225308,0.317377433,0.480298206,0.136846775,0.078309245,0.046219936,0.682622567,0.673835033,0.504764593,0.326164967,0.592778415,2612
Upper Siang,Arunachal Pradesh,0,0,6590,33363,0.541228307,0.458771693,0.402361898,0.483635155,0.306481119,0.512693703,0.572354212,0.442310205,0.285465935,0.010760423,0.487306297,1,0.402361898,0,0,210
Baghpat,Uttar Pradesh,0,0,1389,1163991,0.54130745,0.45869255,0.529104606,0.634392304,0.404853591,0.32672933,0.475299051,0.151400787,0.106341888,0.032427227,0.67327067,0.802891947,0.520694788,0.197108053,0.563360822,2707
Sonipat,Haryana,0,0,2122,1279175,0.543884144,0.456115856,0.61610413,0.699417728,0.516758876,0.408881506,0.496533822,0.304362655,0.108361248,0.028919421,0.591118494,0.748763852,0.589725412,0.251236148,0.69472112,804
Meerut,Uttar Pradesh,0,0,2522,2997361,0.534329365,0.465670635,0.535961134,0.619392249,0.440228889,0.298881583,0.465843062,0.107303213,0.06141002,0.0222429,0.701118417,0.515579538,0.508878734,0.484420462,0.564785538,2753
Moradabad,Uttar Pradesh,0,0,3647,3810983,0.533275011,0.466724989,0.356583853,0.439713192,0.261601153,0.310155149,0.479428746,0.116744936,0.104696347,0.038729378,0.689844851,0.694648074,0.306381011,0.305351926,0.470790786,2755
Rampur,Uttar Pradesh,0,0,2367,1923739,0.532179781,0.467820219,0.307396689,0.384456546,0.219735456,0.28299629,0.471082025,0.069034984,0.108584377,0.049275915,0.71700371,0.750250424,0.264900373,0.249749576,0.435056082,2760
Jyotiba Phule Nagar,Uttar Pradesh,0,0,2321,1499068,0.530481606,0.469518394,0.394949395,0.501243668,0.27485366,0.318933497,0.476140176,0.141314787,0.129399734,0.031586292,0.681066503,0.754389394,0.378850648,0.245610606,0.444396462,2739
Rohtak,Haryana,0,0,1745,940128,0.541456057,0.458543943,0.630217375,0.708328258,0.537982788,0.394704764,0.493275551,0.278310794,0.118251983,0.022756476,0.605295236,0.649405187,0.588533784,0.350594813,0.707427701,816
Bhiwani,Haryana,0,0,4778,1425022,0.532099154,0.467900846,0.568339296,0.673660375,0.448567645,0.427586381,0.492430627,0.353845185,0.154408142,0.02009162,0.572413619,0.810253456,0.547370627,0.189746544,0.657879457,802
Bikaner,Rajasthan,0,0,27284,1674271,0.529230334,0.470769666,0.458027404,0.565704935,0.336978366,0.395071646,0.501700195,0.275201853,0.169417018,0.010911615,0.604928354,0.644599948,0.356431176,0,0,2208
West Siang,Arunachal Pradesh,0,0,8033,103918,0.522998903,0.477001097,0.492850132,0.554343226,0.425427182,0.414605747,0.472648991,0.350965321,0.216468754,0.004205239,0.585394253,0.796839816,0.444243171,0.203160184,0.683497537,213
Churu,Rajasthan,0,0,16830,1923878,0.513432245,0.486567755,0.534794826,0.634878581,0.429185223,0.443842593,0.500132114,0.384445202,0.208098954,0.009297367,0.556157407,0.721294178,0.512249925,0.278705822,0.593141314,2211
Ghaziabad,Uttar Pradesh,0,0,1956,3290586,0.537606979,0.462393021,0.577324221,0.660505517,0.480612457,0.285131888,0.456262203,0.086165106,0.042823679,0.012274409,0.714868112,0.447996497,0.512192955,0.552003503,0.630183631,2728
Bareilly,Uttar Pradesh,0,0,4120,3618589,0.534495352,0.465504648,0.383332841,0.472678258,0.280745873,0.302626521,0.486209483,0.091835414,0.104413626,0.034321389,0.697373479,0.670741828,0.328739722,0.329258172,0.494546141,2712
North West,Delhi,0,0,440,2860869,0.549374683,0.450625317,0.684373175,0.738725664,0.618109961,0.321384516,0.512054866,0.088930948,0.004372098,0.001545335,0.678615484,0.092756082,0.656319834,0.907243918,0.687241332,3302
Pilibhit,Uttar Pradesh,0,0,3499,1645183,0.532687245,0.467312755,0.39987041,0.50561408,0.27933378,0.280418045,0.4776498,0.055594649,0.11961952,0.037107118,0.719581955,0.821160321,0.37611134,0.178839679,0.508962559,2757
Jhajjar,Haryana,0,0,1834,880072,0.541404567,0.458595433,0.615443964,0.704834461,0.509912115,0.441685453,0.513791909,0.356558646,0.140833932,0.018341681,0.558314547,0.778317001,0.597293332,0.221682999,0.679169849,807
North East,Delhi,0,0,60,1768061,0.540749442,0.459250558,0.645359521,0.707711086,0.571943009,0.283036049,0.477010244,0.054639075,0.000652692,0.000257344,0.716963951,0.080057758,0.625382382,0.919942242,0.647098027,3303
North,Delhi,0,0,60,781525,0.547496241,0.452503759,0.691202457,0.734087903,0.639314224,0.328327309,0.532268242,0.081573791,0.00167621,0.001117047,0.671672691,0.059607818,0.616958248,0.940392182,0.69590851,3301
Bulandshahar,Uttar Pradesh,0,0,3718,2913122,0.532187117,0.467812883,0.483358404,0.603869767,0.346263858,0.402937124,0.508849752,0.282450198,0.108880782,0.032013077,0.597062876,0.768475883,0.469294186,0.231524117,0.530040418,2718
West,Delhi,0,0,129,2128908,0.546328916,0.453671084,0.720434138,0.760788559,0.671837726,0.338631355,0.53048533,0.107593102,0.0011931,0.000326928,0.661368645,0.040769258,0.625769062,0.959230742,0.724457596,3304
Upper Subansiri,Arunachal Pradesh,0,0,7032,55346,0.510244643,0.489755357,0.404347198,0.479709632,0.325831919,0.404997651,0.444971671,0.363351288,0.259169588,0.00303545,0.595002349,0.71531818,0.333619601,0.28468182,0.582063976,211
Kheri,Uttar Pradesh,0,0,7680,3207232,0.534388532,0.465611468,0.387932335,0.481384065,0.280676531,0.314461816,0.511047267,0.088838055,0.159093885,0.04763921,0.685538184,0.892263173,0.366264399,0.107736827,0.567383522,2744
East,Delhi,0,0,64,1463583,0.542554812,0.457445188,0.729811019,0.772045175,0.679719018,0.324757803,0.52079655,0.092245213,0.000725617,0.000424984,0.675242197,0.012450951,0.700817648,0.987549049,0.730176565,3308
South West,Delhi,0,0,420,1755041,0.560451294,0.439548706,0.716811174,0.774608968,0.643115477,0.343323033,0.52967777,0.105709426,0.006015244,0.001019349,0.656676967,0.128460817,0.675339537,0.871539183,0.7229239,3305
